AirportCode,GeographicRegionId
ABQ,10
ACK,16
ANC,22
AUA,3
AUS,20
AZS,5
BDA,3
BDL,14
BGI,3
BOG,6
BOS,14
BQN,4
BTV,13
BUF,13
BUR,2
BWI,7
CHS,8
CLE,15
CLT,8
CTG,6
CUN,3
CUR,3
DCA,7
DEN,9
DFW,20
DTW,15
EWR,12
FLL,21
GCM,3
GND,3
HOU,20
HPN,12
HYA,16
IAD,7
JAX,19
JFK,12
KIN,3
LAS,10
LAX,2
LGA,12
LGB,2
LIM,3
LIR,3
LRM,5
MBJ,3
MCO,18
MDE,6
MSY,19
MVY,16
NAS,3
OAK,1
ORD,15
ORH,14
PAP,3
PBI,17
PDX,11
PHL,15
PHX,10
PIT,15
PLS,3
POP,5
POS,3
PSE,4
PUJ,5
PVD,14
PWM,13
RDU,8
RIC,7
RNO,1
ROC,13
RSW,19
SAV,8
SDQ,5
SEA,11
SFO,1
SJC,1
SJO,3
SJU,4
SLC,9
SMF,1
SRQ,19
STI,5
STT,3
STX,3
SWF,12
SXM,3
SYR,13
TPA,19
UVF,3
